graph_problem,object,solution depth,solution cost,solution path,nodes expanded,time
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x000001DD78146650>,bidirectional_breadth_first_search,18,18,"('down', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'down', 'right', 'right', 'up', 'left', 'down', 'right')",2136,0.3523533000006864
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x000001DD78146650>,best_first_search,18,18,"('down', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'down', 'right', 'right', 'up', 'left', 'down', 'right')",896,0.0311965999990206
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x000001DD78146650>,bidirectional_best_first_search,18,18,"('down', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'down', 'right', 'right', 'up', 'left', 'down', 'right')",776,0.0848287000007985
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD549C60>,bidirectional_breadth_first_search,16,16,"('left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'down', 'left', 'up', 'right', 'down', 'right')",970,0.01237550000041665
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD549C60>,best_first_search,16,16,"('left', 'down', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'right', 'up', 'left', 'down', 'down', 'right')",77,0.0005237999994278653
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD549C60>,bidirectional_best_first_search,18,18,"('left', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'down', 'right')",80,0.0006451999997807434
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD549C60>,near_optimal_front_to_end_bidirectional_search,16,16,"('left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'down', 'left', 'up', 'right', 'down', 'right')",121,0.002031600000918843
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD549C60>,near_optimal_front_to_end_bidirectional_search_threads,16,16,"('left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'down', 'left', 'up', 'right', 'down', 'right')",121,0.007470900000043912
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD580D90>,bidirectional_breadth_first_search,18,18,"('down', 'down', 'left', 'left', 'up', 'right', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'down')",1585,0.02935570000045118
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD580D90>,best_first_search,18,18,"('down', 'down', 'left', 'left', 'up', 'right', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'down')",239,0.0016667999989294913
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD580D90>,bidirectional_best_first_search,20,20,"('left', 'down', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right')",194,0.0017014000004564878
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD580D90>,near_optimal_front_to_end_bidirectional_search,18,18,"('down', 'down', 'left', 'left', 'up', 'right', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'down')",391,0.009424900001249625
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD580D90>,near_optimal_front_to_end_bidirectional_search_threads,18,18,"('down', 'down', 'left', 'left', 'up', 'right', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'down')",391,0.026334800000768155
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD580A00>,bidirectional_breadth_first_search,16,16,"('up', 'left', 'down', 'down', 'right', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down')",868,0.009972500000003492
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD580A00>,best_first_search,16,16,"('up', 'left', 'down', 'down', 'right', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down')",754,0.005081799999970826
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD580A00>,bidirectional_best_first_search,18,18,"('up', 'right', 'down', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down')",536,0.0063991000006353715
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD580A00>,near_optimal_front_to_end_bidirectional_search,16,16,"('up', 'left', 'down', 'down', 'right', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down')",1119,0.05454199999985576
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD580A00>,near_optimal_front_to_end_bidirectional_search_threads,16,16,"('up', 'left', 'down', 'down', 'right', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down')",1119,0.10492279999925813
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD5804F0>,bidirectional_breadth_first_search,22,22,"('up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'right')",5349,0.2569919999987178
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD5804F0>,best_first_search,22,22,"('up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'right')",1320,0.008748199999899953
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD5804F0>,bidirectional_best_first_search,24,24,"('up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down', 'right')",543,0.006514600001537474
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD5804F0>,near_optimal_front_to_end_bidirectional_search,22,22,"('up', 'right', 'down', 'left', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'right')",1690,0.11021339999933844
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD5804F0>,near_optimal_front_to_end_bidirectional_search_threads,22,22,"('up', 'right', 'down', 'left', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'right')",1690,0.18685999999979686
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD5801F0>,bidirectional_breadth_first_search,20,20,"('right', 'down', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down')",2398,0.07820820000051754
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD5801F0>,best_first_search,20,20,"('right', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'down', 'right', 'down')",800,0.005558400000154506
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD5801F0>,bidirectional_best_first_search,20,20,"('right', 'down', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down')",290,0.0027525999994395534
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD5801F0>,near_optimal_front_to_end_bidirectional_search,20,20,"('right', 'down', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down')",750,0.0259105000004638
<py_search.problems.eight_puzzle.EightPuzzleProblem object at 0x00000218BD5801F0>,near_optimal_front_to_end_bidirectional_search_threads,20,20,"('right', 'down', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down')",750,0.05675869999868155
