graph_problem,object,solution depth,solution cost,solution path,nodes expanded,time
600,bidirectional_breadth_first_search,3,38.0,"('State: 0, Extra: None -> 5', 'State: 5, Extra: None -> 59', '59 -> State: 391, Extra: None')",166,0.003755499999897438
600,best_first_search,2,21.0,"('State: 0, Extra: None -> 228', 'State: 228, Extra: None -> 391')",1805,0.0108912000005148
600,bidirectional_best_first_search,2,21.0,"('State: 0, Extra: None -> 228', '228 -> State: 391, Extra: None')",117,0.0006138999997347128
600,near_optimal_front_to_end_bidirectional_search,2,21.0,"('State: 0, Extra: None -> 228', '228 -> State: 391, Extra: None')",1582,0.20436440000048606
600,near_optimal_front_to_end_bidirectional_search_threads,2,21.0,"('State: 0, Extra: None -> 228', '228 -> State: 391, Extra: None')",1582,0.19130159999986063
700,bidirectional_breadth_first_search,3,39.0,"('State: 0, Extra: None -> 23', 'State: 23, Extra: None -> 78', '78 -> State: 433, Extra: None')",636,0.0027012999998987652
700,best_first_search,2,22.0,"('State: 0, Extra: None -> 269', 'State: 269, Extra: None -> 433')",4206,0.017378699999426317
700,bidirectional_best_first_search,2,22.0,"('State: 0, Extra: None -> 269', '269 -> State: 433, Extra: None')",144,0.0007403999998132349
700,near_optimal_front_to_end_bidirectional_search,2,22.0,"('State: 0, Extra: None -> 176', '176 -> State: 433, Extra: None')",3462,0.7724502999999459
700,near_optimal_front_to_end_bidirectional_search_threads,2,22.0,"('State: 0, Extra: None -> 176', '176 -> State: 433, Extra: None')",3462,0.6988688000001275
800,bidirectional_breadth_first_search,3,34.0,"('State: 0, Extra: None -> 17', 'State: 17, Extra: None -> 65', '65 -> State: 371, Extra: None')",514,0.002276700000038545
800,best_first_search,2,23.0,"('State: 0, Extra: None -> 137', 'State: 137, Extra: None -> 371')",6198,0.025846000000456115
800,bidirectional_best_first_search,2,23.0,"('State: 0, Extra: None -> 137', '137 -> State: 371, Extra: None')",146,0.0007480000003852183
800,near_optimal_front_to_end_bidirectional_search,2,23.0,"('State: 0, Extra: None -> 137', '137 -> State: 371, Extra: None')",3646,0.8605796000001646
800,near_optimal_front_to_end_bidirectional_search_threads,2,23.0,"('State: 0, Extra: None -> 137', '137 -> State: 371, Extra: None')",3646,0.8160763000005318
900,bidirectional_breadth_first_search,3,36.0,"('State: 0, Extra: None -> 31', 'State: 31, Extra: None -> 65', '65 -> State: 229, Extra: None')",431,0.001784600000064529
900,best_first_search,2,20.0,"('State: 0, Extra: None -> 654', 'State: 654, Extra: None -> 229')",3707,0.016937200000029407
900,bidirectional_best_first_search,2,20.0,"('State: 0, Extra: None -> 654', '654 -> State: 229, Extra: None')",176,0.0008738000005905633
900,near_optimal_front_to_end_bidirectional_search,2,20.0,"('State: 0, Extra: None -> 654', '654 -> State: 229, Extra: None')",2936,0.6699708000005558
900,near_optimal_front_to_end_bidirectional_search_threads,2,20.0,"('State: 0, Extra: None -> 654', '654 -> State: 229, Extra: None')",2936,0.6303640000005544
1000,bidirectional_breadth_first_search,3,37.0,"('State: 0, Extra: None -> 60', '60 -> State: 71, Extra: None', '71 -> State: 76, Extra: None')",987,0.003500299999359413
1000,best_first_search,2,21.0,"('State: 0, Extra: None -> 910', 'State: 910, Extra: None -> 76')",7347,0.02953849999994418
1000,bidirectional_best_first_search,2,21.0,"('State: 0, Extra: None -> 910', '910 -> State: 76, Extra: None')",217,0.0013114000003042747
